HubName,pred_safe,pred_prob_safe
69349602,0,0.0
906706329,1,1.0
236665223,1,1.0
1279572642,1,0.9933333333333332
906706325,1,1.0
906706329,1,1.0
906706329,1,0.9966666666666668
236665223,0,0.0
236665223,1,1.0
225595166,0,0.0
177272140,0,0.0
225595166,0,0.0
99676684,0,0.0
5036144,1,0.9966666666666668
5036144,1,0.9933333333333332
424712633,0,0.0
5036144,1,0.9933333333333332
1108430244,1,1.0
49478699,0,0.0
48787346,1,1.0
238270879,0,0.0
23088425,0,0.02
244104040,1,1.0
35153258,0,0.01
75383951,0,0.0
75383951,1,0.9966666666666668
75383951,1,1.0
75383951,0,0.0
244104040,0,0.0
244104040,1,1.0
244104040,1,0.9966666666666668
1243983985,1,1.0
75383951,0,0.0
75383951,0,0.0
1243983985,1,0.9933333333333332
75383951,1,1.0
75383951,1,1.0
75383951,1,0.9966666666666668
75383951,1,0.9966666666666668
244104040,1,1.0
244104040,1,1.0
244104040,1,1.0
244104040,1,1.0
244104040,1,1.0
48787346,1,1.0
48787346,1,0.9966666666666668
48787346,1,1.0
579225484,1,0.9933333333333332
579225484,1,0.9933333333333332
579225484,1,0.9933333333333332
48787346,1,1.0
48787346,1,1.0
13346385,0,0.0
163764648,1,0.9966666666666668
163764648,1,1.0
5036144,1,0.9933333333333332
1295588537,0,0.0
94337528,1,0.9966666666666668
4989996,0,0.0
152287876,0,0.0066666666666666
5036144,0,0.0
22993714,0,0.01
22993714,0,0.0033333333333333
22993714,0,0.0
818420597,1,1.0
818420597,1,1.0
818420597,1,1.0
1083268424,1,1.0
818420597,0,0.0
818420597,0,0.0
75394183,1,0.9966666666666668
75394183,0,0.0033333333333333
75394183,1,0.9966666666666668
1083268424,1,0.9966666666666668
75394183,1,1.0
75394183,0,0.0
705369242,1,0.9966666666666668
28723101,0,0.02
28723101,0,0.0066666666666666
818420597,1,1.0
818420597,1,1.0
818420597,1,1.0
818420597,0,0.0
818420597,1,0.9966666666666668
818420597,0,0.0
818420597,1,1.0
818420597,1,1.0
818420597,0,0.0
818420597,1,1.0
818420597,1,1.0
28723101,0,0.0033333333333333
1100789599,0,0.0
1100789599,0,0.0033333333333333
1100789599,1,0.9966666666666668
1025414975,1,1.0
1108917396,0,0.0033333333333333
75394183,1,1.0
75394183,1,0.9866666666666668
131974461,0,0.0033333333333333
638673728,1,1.0
638673728,0,0.0
827898120,1,0.9933333333333332
54032309,0,0.0
32980998,0,0.0
47069807,0,0.0
224041471,0,0.0
4989996,0,0.0033333333333333
4989996,0,0.0033333333333333
47069806,0,0.0
638673728,1,1.0
35129007,1,1.0
638673728,1,1.0
35939575,0,0.0
35129007,0,0.0033333333333333
206611058,1,1.0
