HubName,pred_safe,pred_prob_safe
69349602,0,0.0
906706329,1,1.0
236665223,1,1.0
1279572642,1,0.9933333333333332
906706325,1,1.0
225595166,0,0.0
177272140,0,0.0
99676684,0,0.0
5036144,1,0.9966666666666668
424712633,0,0.0
1108430244,1,1.0
49478699,0,0.0
48787346,1,1.0
238270879,0,0.0
23088425,0,0.02
244104040,1,1.0
35153258,0,0.01
75383951,0,0.0
1243983985,1,1.0
579225484,1,0.9933333333333332
13346385,0,0.0
163764648,1,0.9966666666666668
1295588537,0,0.0
94337528,1,0.9966666666666668
4989996,0,0.0
152287876,0,0.0066666666666666
22993714,0,0.01
818420597,1,1.0
1083268424,1,1.0
75394183,1,0.9966666666666668
705369242,1,0.9966666666666668
28723101,0,0.02
1100789599,0,0.0
1025414975,1,1.0
1108917396,0,0.0033333333333333
131974461,0,0.0033333333333333
638673728,1,1.0
827898120,1,0.9933333333333332
54032309,0,0.0
32980998,0,0.0
47069807,0,0.0
224041471,0,0.0
47069806,0,0.0
35129007,1,1.0
35939575,0,0.0
206611058,1,1.0
238684228,1,0.9933333333333332
49478631,0,0.0066666666666666
237326396,1,1.0
563753215,0,0.0
547851614,1,1.0
818379314,0,0.0033333333333333
818379312,0,0.0
35066720,0,0.0
107502561,1,1.0
23172338,0,0.0
165699899,0,0.0
22742600,0,0.0
818379315,0,0.0
177272141,0,0.0066666666666666
55479773,1,1.0
92699388,1,0.9833333333333332
574081046,0,0.0033333333333333
81610881,1,1.0
704341111,0,0.0
693438403,0,0.0
548380370,0,0.0
1296555545,1,1.0
23172566,1,1.0
1098512505,1,1.0
1061091870,0,0.0133333333333333
450091142,1,0.9933333333333332
708553659,1,0.9933333333333332
28443618,1,1.0
511530746,1,1.0
970654538,1,0.9966666666666668
47070000,0,0.0
35677008,0,0.0
557033971,1,1.0
35270936,0,0.0033333333333333
32977737,1,1.0
770831064,0,0.0
783799618,1,1.0
557033969,1,1.0
1295588538,0,0.0
27323169,1,1.0
29101065,0,0.0
878942171,1,1.0
1124335203,0,0.0
43903051,1,0.9966666666666668
225358499,0,0.0
627415060,1,0.9933333333333332
1070505895,0,0.01
319768669,1,1.0
154644780,1,1.0
359588985,0,0.0
49257290,1,1.0
159638428,1,0.9966666666666668
50550957,0,0.0
628747760,1,0.9966666666666668
42006100,0,0.0
1108075784,1,1.0
585012391,0,0.0033333333333333
40134598,1,1.0
243454705,0,0.0
64472384,0,0.0
35798776,0,0.0
243471154,0,0.0033333333333333
556769359,0,0.0
243454756,1,0.9966666666666668
23250480,0,0.0033333333333333
38570244,1,1.0
834050737,0,0.0
1323519477,1,0.9933333333333332
41522725,0,0.0133333333333333
35068267,0,0.0
41315644,0,0.0
