road_segment_id,from,to,cost,directed
69349602,"287086.577,1617689.878","287020.053,1617668.258",13.815510557964274,False
906706329,"290215.438,1634156.957","290119.254,1634108.312",-9.999994999180668e-07,False
236665223,"290643.702,1634071.097","290670.949,1634097.653",-9.999994999180668e-07,False
1279572642,"290110.45,1634159.672","290426.581,1634272.321",0.0066879814398940725,False
906706325,"290305.397,1634339.506","290106.837,1634478.999",-9.999994999180668e-07,False
225595166,"294792.904,1613875.038","294818.118,1613870.643",13.815510557964274,False
177272140,"294284.114,1617381.486","294202.561,1617094.283",13.815510557964274,False
99676684,"286467.461,1597113.021","286500.179,1597132.637",13.815510557964274,False
5036144,"295814.42,1620592.819","295814.327,1620588.138",0.0033378979215362026,False
424712633,"295149.349,1620358.491","295138.005,1620363.743",13.815510557964274,False
1108430244,"294649.773,1625710.313","294669.775,1625641.322",-9.999994999180668e-07,False
49478699,"290180.434,1620758.113","290145.872,1620795.859",13.815510557964274,False
48787346,"291552.712,1634631.633","291561.499,1634631.679",-9.999994999180668e-07,False
238270879,"292761.398,1612579.134","292780.977,1612585.111",13.815510557964274,False
23088425,"294802.295,1617086.585","294601.389,1617044.76",3.9119730066781044,False
244104040,"288137.839,1617307.672","288115.223,1617347.752",-9.999994999180668e-07,False
35153258,"288179.797,1617037.537","288161.859,1617069.111",4.6050701909877585,False
75383951,"288257.417,1617047.522","288299.54,1617071.227",13.815510557964274,False
1243983985,"288484.392,1617443.667","288493.22,1617448.936",-9.999994999180668e-07,False
579225484,"291610.23,1634587.413","291565.094,1634586.497",0.0066879814398940725,False
13346385,"290465.329,1622894.913","290225.016,1622968.096",13.815510557964274,False
163764648,"296583.899,1620575.698","296582.792,1620568.26",0.0033378979215362026,False
1295588537,"295798.07,1621358.759","295814.338,1621351.009",13.815510557964274,False
94337528,"296196.573,1621332.96","296207.02,1621355.79",0.0033378979215362026,False
4989996,"294878.167,1620684.082","294906.392,1620670.886",13.815510557964274,False
152287876,"290947.472,1624874.82","290946.598,1625001.285",5.010485305345141,False
22993714,"290553.392,1616006.161","290539.907,1616000.643",4.6050701909877585,False
818420597,"292779.752,1610592.666","292767.094,1610595.993",-9.999994999180668e-07,False
1083268424,"293628.75,1631543.62","293590.074,1631486.359",-9.999994999180668e-07,False
75394183,"294224.776,1616165.626","294190.435,1616118.396",0.0033378979215362026,False
705369242,"288040.066,1610249.017","288035.935,1610246.231",0.0033378979215362026,False
28723101,"284695.642,1621228.767","284624.782,1621261.996",3.9119730066781044,False
1100789599,"289289.399,1626045.682","289261.46,1626075.882",13.815510557964274,False
1025414975,"289137.279,1625997.423","289180.886,1625945.496",-9.999994999180668e-07,False
1108917396,"294067.899,1613383.13","294062.236,1613363.314",5.703482519647213,False
131974461,"285620.882,1600530.507","285561.37,1600438.705",5.703482519647213,False
638673728,"297398.224,1621625.103","297372.936,1621623.398",-9.999994999180668e-07,False
827898120,"286264.591,1629983.676","286290.516,1629966.748",0.0066879814398940725,False
54032309,"293651.418,1618601.668","293658.013,1618605.541",13.815510557964274,False
32980998,"288674.52,1596147.223","288701.978,1596052.282",13.815510557964274,False
47069807,"293463.006,1618192.512","293456.572,1618197.414",13.815510557964274,False
224041471,"284645.997,1608644.211","284596.397,1608641.58",13.815510557964274,False
47069806,"293153.025,1617674.298","293157.664,1617677.513",13.815510557964274,False
35129007,"290061.842,1610820.27","290054.168,1610837.887",-9.999994999180668e-07,False
35939575,"284729.907,1601547.626","284726.931,1601620.703",13.815510557964274,False
206611058,"289332.678,1610289.871","289320.529,1610323.617",-9.999994999180668e-07,False
238684228,"289737.779,1610620.904","289731.934,1610628.026",0.0066879814398940725,False
49478631,"289480.673,1620576.222","289524.356,1620475.56",5.010485305345141,False
237326396,"293254.197,1631103.326","293252.438,1631109.218",-9.999994999180668e-07,False
563753215,"287827.815,1620621.444","287892.391,1620919.295",13.815510557964274,False
547851614,"288786.558,1623323.021","288777.077,1623321.731",-9.999994999180668e-07,False
818379314,"291959.469,1609986.53","292083.646,1609976.935",5.703482519647213,False
818379312,"291743.321,1610069.18","291959.469,1609986.53",13.815510557964274,False
35066720,"284074.493,1612287.811","284185.6,1612260.162",13.815510557964274,False
107502561,"292055.782,1614350.139","292115.528,1614328.407",-9.999994999180668e-07,False
23172338,"288990.51,1623853.082","288980.943,1623880.323",13.815510557964274,False
165699899,"293764.267,1626413.011","293532.855,1625840.243",13.815510557964274,False
22742600,"284090.456,1611980.532","284099.861,1611954.365",13.815510557964274,False
818379315,"292708.305,1611117.458","292533.883,1611082.126",13.815510557964274,False
177272141,"294469.815,1616841.794","294480.834,1616986.038",5.010485305345141,False
55479773,"290323.738,1617462.277","290331.733,1617466.071",-9.999994999180668e-07,False
92699388,"290197.952,1617025.245","290202.542,1617018.908",0.01680610136774592,False
574081046,"287862.421,1599258.664","287829.913,1599073.214",5.703482519647213,False
81610881,"295034.293,1608400.046","294933.446,1608444.454",-9.999994999180668e-07,False
704341111,"286436.413,1610377.045","286402.173,1610328.151",13.815510557964274,False
693438403,"287693.753,1593178.253","287517.457,1593180.492",13.815510557964274,False
548380370,"288428.562,1620201.613","288409.875,1620189.923",13.815510557964274,False
